V1	V2	organism
Q6P2C8	Q9Y3C7	Human
Q93074	Q9BTT4	Human
Q93074	Q9H944	Human
Q93074	Q9NVC6	Human
Q93074	Q9UHV7	Human
Q93074	Q9Y2W1	Human
Q93074	Q9Y2X0	Human
Q93074	Q9Y3C7	Human
Q9BTT4	Q9H944	Human
Q9BTT4	Q9NVC6	Human
Q9BTT4	Q9UHV7	Human
Q9BTT4	Q9Y2W1	Human
Q9BTT4	Q9Y2X0	Human
Q9BTT4	Q9Y3C7	Human
Q9H944	Q9NVC6	Human
Q9H944	Q9UHV7	Human
Q9H944	Q9Y2W1	Human
Q9H944	Q9Y2X0	Human
Q9H944	Q9Y3C7	Human
Q9NVC6	Q9UHV7	Human
Q9NVC6	Q9Y2W1	Human
Q9NVC6	Q9Y2X0	Human
Q9NVC6	Q9Y3C7	Human
Q9UHV7	Q9Y2W1	Human
Q9UHV7	Q9Y2X0	Human
Q9UHV7	Q9Y3C7	Human
Q9Y2W1	Q9Y2X0	Human
Q9Y2W1	Q9Y3C7	Human
Q9Y2X0	Q9Y3C7	Human
O96019	P15923	Human
O96019	Q53TQ3	Human
O96019	Q6P4R8	Human
O96019	Q6PI98	Human
O96019	Q8NBZ0	Human
O96019	Q96EZ8	Human
O96019	Q9C086	Human
O96019	Q9H981	Human
O96019	Q9H9F9	Human
O96019	Q9ULG1	Human
O96019	Q9Y230	Human
O96019	Q9Y265	Human
P15923	Q53TQ3	Human
P15923	Q6P4R8	Human
P15923	Q6PI98	Human
P15923	Q8NBZ0	Human
P15923	Q96EZ8	Human
P15923	Q9C086	Human
P15923	Q9H981	Human
P15923	Q9H9F9	Human
P15923	Q9ULG1	Human
P15923	Q9Y230	Human
P15923	Q9Y265	Human
Q53TQ3	Q6P4R8	Human
Q53TQ3	Q6PI98	Human
Q53TQ3	Q8NBZ0	Human
Q53TQ3	Q96EZ8	Human
Q53TQ3	Q9C086	Human
Q53TQ3	Q9H981	Human
Q53TQ3	Q9H9F9	Human
Q53TQ3	Q9ULG1	Human
Q53TQ3	Q9Y230	Human
Q53TQ3	Q9Y265	Human
Q6P4R8	Q6PI98	Human
Q6P4R8	Q8NBZ0	Human
Q6P4R8	Q96EZ8	Human
Q6P4R8	Q9C086	Human
Q6P4R8	Q9H981	Human
Q6P4R8	Q9H9F9	Human
Q6P4R8	Q9ULG1	Human
Q6P4R8	Q9Y230	Human
Q6P4R8	Q9Y265	Human
Q6PI98	Q8NBZ0	Human
Q6PI98	Q96EZ8	Human
Q6PI98	Q9C086	Human
Q6PI98	Q9H981	Human
Q6PI98	Q9H9F9	Human
Q6PI98	Q9ULG1	Human
Q6PI98	Q9Y230	Human
Q6PI98	Q9Y265	Human
Q8NBZ0	Q96EZ8	Human
Q8NBZ0	Q9C086	Human
Q8NBZ0	Q9H981	Human
Q8NBZ0	Q9H9F9	Human
Q8NBZ0	Q9ULG1	Human
Q8NBZ0	Q9Y230	Human
Q8NBZ0	Q9Y265	Human
Q96EZ8	Q9C086	Human
Q96EZ8	Q9H981	Human
Q96EZ8	Q9H9F9	Human
Q96EZ8	Q9ULG1	Human
Q96EZ8	Q9Y230	Human
Q96EZ8	Q9Y265	Human
Q9C086	Q9H981	Human
Q9C086	Q9H9F9	Human
Q9C086	Q9ULG1	Human
Q9C086	Q9Y230	Human
Q9C086	Q9Y265	Human
Q9H981	Q9H9F9	Human
Q9H981	Q9ULG1	Human
Q9H981	Q9Y230	Human
Q9H981	Q9Y265	Human
Q9H9F9	Q9ULG1	Human
Q9H9F9	Q9Y230	Human
Q9H9F9	Q9Y265	Human
Q9ULG1	Q9Y230	Human
Q9ULG1	Q9Y265	Human
Q9Y230	Q9Y265	Human
O43257	O95619	Human
O43257	O96019	Human
O43257	P0C0S5	Human
O43257	Q15906	Human
O43257	Q6ZRS2	Human
O43257	Q96CJ1	Human
O43257	Q9GZN1	Human
O43257	Q9Y230	Human
O43257	Q9Y265	Human
O95619	O96019	Human
O95619	P0C0S5	Human
O95619	Q15906	Human
O95619	Q6ZRS2	Human
O95619	Q96CJ1	Human
O95619	Q9GZN1	Human
O95619	Q9Y230	Human
O95619	Q9Y265	Human
O96019	P0C0S5	Human
O96019	Q15906	Human
O96019	Q6ZRS2	Human
O96019	Q96CJ1	Human
O96019	Q9GZN1	Human
O96019	Q9Y230	Human
O96019	Q9Y265	Human
P0C0S5	Q15906	Human
P0C0S5	Q6ZRS2	Human
P0C0S5	Q96CJ1	Human
P0C0S5	Q9GZN1	Human
P0C0S5	Q9Y230	Human
P0C0S5	Q9Y265	Human
Q15906	Q6ZRS2	Human
Q15906	Q96CJ1	Human
Q15906	Q9GZN1	Human
Q15906	Q9Y230	Human
Q15906	Q9Y265	Human
Q6ZRS2	Q96CJ1	Human
Q6ZRS2	Q9GZN1	Human
Q6ZRS2	Q9Y230	Human
Q6ZRS2	Q9Y265	Human
Q96CJ1	Q9GZN1	Human
Q96CJ1	Q9Y230	Human
Q96CJ1	Q9Y265	Human
Q9GZN1	Q9Y230	Human
Q9GZN1	Q9Y265	Human
Q9Y230	Q9Y265	Human
P08708	P08865	Human
P08708	P15880	Human
P08708	P22090	Human
P08708	P23396	Human
P08708	P25398	Human
P08708	P39019	Human
P08708	P42677	Human
P08708	P46781	Human
P08708	P46782	Human
P08708	P46783	Human
P08708	P60866	Human
P08708	P61247	Human
P08708	P62081	Human
P08708	P62241	Human
P08708	P62244	Human
P08708	P62249	Human
P08708	P62263	Human
P08708	P62266	Human
P08708	P62269	Human
P08708	P62273	Human
P08708	P62277	Human
P08708	P62280	Human
P08708	P62701	Human
P08708	P62753	Human
P08708	P62841	Human
P08708	P62847	Human
P08708	P62851	Human
P08708	P62854	Human
P08708	P62857	Human
P08708	P62861	Human
P08708	P62979	Human
P08708	P63220	Human
P08865	P15880	Human
P08865	P22090	Human
P08865	P23396	Human
P08865	P25398	Human
P08865	P39019	Human
P08865	P42677	Human
P08865	P46781	Human
P08865	P46782	Human
P08865	P46783	Human
P08865	P60866	Human
P08865	P61247	Human
P08865	P62081	Human
P08865	P62241	Human
P08865	P62244	Human
P08865	P62249	Human
P08865	P62263	Human
P08865	P62266	Human
P08865	P62269	Human
P08865	P62273	Human
P08865	P62277	Human
P08865	P62280	Human
P08865	P62701	Human
P08865	P62753	Human
P08865	P62841	Human
P08865	P62847	Human
P08865	P62851	Human
P08865	P62854	Human
P08865	P62857	Human
P08865	P62861	Human
P08865	P62979	Human
P08865	P63220	Human
P15880	P22090	Human
P15880	P23396	Human
P15880	P25398	Human
P15880	P39019	Human
P15880	P42677	Human
P15880	P46781	Human
P15880	P46782	Human
P15880	P46783	Human
P15880	P60866	Human
P15880	P61247	Human
P15880	P62081	Human
P15880	P62241	Human
P15880	P62244	Human
P15880	P62249	Human
P15880	P62263	Human
P15880	P62266	Human
P15880	P62269	Human
P15880	P62273	Human
P15880	P62277	Human
P15880	P62280	Human
P15880	P62701	Human
P15880	P62753	Human
P15880	P62841	Human
P15880	P62847	Human
P15880	P62851	Human
P15880	P62854	Human
P15880	P62857	Human
P15880	P62861	Human
P15880	P62979	Human
P15880	P63220	Human
P22090	P23396	Human
P22090	P25398	Human
P22090	P39019	Human
P22090	P42677	Human
P22090	P46781	Human
P22090	P46782	Human
P22090	P46783	Human
P22090	P60866	Human
P22090	P61247	Human
P22090	P62081	Human
P22090	P62241	Human
P22090	P62244	Human
P22090	P62249	Human
P22090	P62263	Human
P22090	P62266	Human
P22090	P62269	Human
P22090	P62273	Human
P22090	P62277	Human
P22090	P62280	Human
P22090	P62701	Human
P22090	P62753	Human
P22090	P62841	Human
P22090	P62847	Human
P22090	P62851	Human
P22090	P62854	Human
P22090	P62857	Human
P22090	P62861	Human
P22090	P62979	Human
P22090	P63220	Human
P23396	P25398	Human
P23396	P39019	Human
P23396	P42677	Human
P23396	P46781	Human
P23396	P46782	Human
P23396	P46783	Human
P23396	P60866	Human
P23396	P61247	Human
P23396	P62081	Human
P23396	P62241	Human
P23396	P62244	Human
P23396	P62249	Human
P23396	P62263	Human
P23396	P62266	Human
P23396	P62269	Human
P23396	P62273	Human
P23396	P62277	Human
P23396	P62280	Human
P23396	P62701	Human
P23396	P62753	Human
P23396	P62841	Human
P23396	P62847	Human
P23396	P62851	Human
P23396	P62854	Human
P23396	P62857	Human
P23396	P62861	Human
P23396	P62979	Human
P23396	P63220	Human
P25398	P39019	Human
P25398	P42677	Human
P25398	P46781	Human
P25398	P46782	Human
P25398	P46783	Human
P25398	P60866	Human
P25398	P61247	Human
P25398	P62081	Human
P25398	P62241	Human
P25398	P62244	Human
P25398	P62249	Human
P25398	P62263	Human
P25398	P62266	Human
P25398	P62269	Human
P25398	P62273	Human
P25398	P62277	Human
P25398	P62280	Human
P25398	P62701	Human
P25398	P62753	Human
P25398	P62841	Human
P25398	P62847	Human
P25398	P62851	Human
P25398	P62854	Human
P25398	P62857	Human
P25398	P62861	Human
P25398	P62979	Human
P25398	P63220	Human
P39019	P42677	Human
P39019	P46781	Human
P39019	P46782	Human
P39019	P46783	Human
P39019	P60866	Human
P39019	P61247	Human
P39019	P62081	Human
P39019	P62241	Human
P39019	P62244	Human
P39019	P62249	Human
P39019	P62263	Human
P39019	P62266	Human
P39019	P62269	Human
P39019	P62273	Human
P39019	P62277	Human
P39019	P62280	Human
P39019	P62701	Human
P39019	P62753	Human
P39019	P62841	Human
P39019	P62847	Human
P39019	P62851	Human
P39019	P62854	Human
P39019	P62857	Human
P39019	P62861	Human
P39019	P62979	Human
P39019	P63220	Human
P42677	P46781	Human
P42677	P46782	Human
P42677	P46783	Human
P42677	P60866	Human
P42677	P61247	Human
P42677	P62081	Human
P42677	P62241	Human
P42677	P62244	Human
P42677	P62249	Human
P42677	P62263	Human
P42677	P62266	Human
P42677	P62269	Human
P42677	P62273	Human
P42677	P62277	Human
P42677	P62280	Human
P42677	P62701	Human
P42677	P62753	Human
P42677	P62841	Human
P42677	P62847	Human
P42677	P62851	Human
P42677	P62854	Human
P42677	P62857	Human
P42677	P62861	Human
P42677	P62979	Human
P42677	P63220	Human
P46781	P46782	Human
P46781	P46783	Human
P46781	P60866	Human
P46781	P61247	Human
P46781	P62081	Human
P46781	P62241	Human
P46781	P62244	Human
P46781	P62249	Human
P46781	P62263	Human
P46781	P62266	Human
P46781	P62269	Human
P46781	P62273	Human
P46781	P62277	Human
P46781	P62280	Human
P46781	P62701	Human
P46781	P62753	Human
P46781	P62841	Human
P46781	P62847	Human
P46781	P62851	Human
P46781	P62854	Human
P46781	P62857	Human
P46781	P62861	Human
P46781	P62979	Human
P46781	P63220	Human
P46782	P46783	Human
P46782	P60866	Human
P46782	P61247	Human
P46782	P62081	Human
P46782	P62241	Human
P46782	P62244	Human
P46782	P62249	Human
P46782	P62263	Human
P46782	P62266	Human
P46782	P62269	Human
P46782	P62273	Human
P46782	P62277	Human
P46782	P62280	Human
P46782	P62701	Human
P46782	P62753	Human
P46782	P62841	Human
P46782	P62847	Human
P46782	P62851	Human
P46782	P62854	Human
P46782	P62857	Human
P46782	P62861	Human
P46782	P62979	Human
P46782	P63220	Human
P46783	P60866	Human
P46783	P61247	Human
P46783	P62081	Human
P46783	P62241	Human
P46783	P62244	Human
P46783	P62249	Human
P46783	P62263	Human
P46783	P62266	Human
P46783	P62269	Human
P46783	P62273	Human
P46783	P62277	Human
P46783	P62280	Human
P46783	P62701	Human
P46783	P62753	Human
P46783	P62841	Human
P46783	P62847	Human
P46783	P62851	Human
P46783	P62854	Human
P46783	P62857	Human
P46783	P62861	Human
P46783	P62979	Human
P46783	P63220	Human
P60866	P61247	Human
P60866	P62081	Human
P60866	P62241	Human
P60866	P62244	Human
P60866	P62249	Human
P60866	P62263	Human
P60866	P62266	Human
P60866	P62269	Human
P60866	P62273	Human
P60866	P62277	Human
P60866	P62280	Human
P60866	P62701	Human
P60866	P62753	Human
P60866	P62841	Human
P60866	P62847	Human
P60866	P62851	Human
P60866	P62854	Human
P60866	P62857	Human
P60866	P62861	Human
P60866	P62979	Human
P60866	P63220	Human
P61247	P62081	Human
P61247	P62241	Human
P61247	P62244	Human
P61247	P62249	Human
P61247	P62263	Human
P61247	P62266	Human
P61247	P62269	Human
P61247	P62273	Human
P61247	P62277	Human
P61247	P62280	Human
P61247	P62701	Human
P61247	P62753	Human
P61247	P62841	Human
P61247	P62847	Human
P61247	P62851	Human
P61247	P62854	Human
P61247	P62857	Human
P61247	P62861	Human
P61247	P62979	Human
P61247	P63220	Human
P62081	P62241	Human
P62081	P62244	Human
P62081	P62249	Human
P62081	P62263	Human
P62081	P62266	Human
P62081	P62269	Human
P62081	P62273	Human
P62081	P62277	Human
P62081	P62280	Human
P62081	P62701	Human
P62081	P62753	Human
P62081	P62841	Human
P62081	P62847	Human
P62081	P62851	Human
P62081	P62854	Human
P62081	P62857	Human
P62081	P62861	Human
P62081	P62979	Human
P62081	P63220	Human
P62241	P62244	Human
P62241	P62249	Human
P62241	P62263	Human
P62241	P62266	Human
P62241	P62269	Human
P62241	P62273	Human
P62241	P62277	Human
P62241	P62280	Human
P62241	P62701	Human
P62241	P62753	Human
P62241	P62841	Human
P62241	P62847	Human
P62241	P62851	Human
P62241	P62854	Human
P62241	P62857	Human
P62241	P62861	Human
P62241	P62979	Human
P62241	P63220	Human
P62244	P62249	Human
P62244	P62263	Human
P62244	P62266	Human
P62244	P62269	Human
P62244	P62273	Human
P62244	P62277	Human
P62244	P62280	Human
P62244	P62701	Human
P62244	P62753	Human
P62244	P62841	Human
P62244	P62847	Human
P62244	P62851	Human
P62244	P62854	Human
P62244	P62857	Human
P62244	P62861	Human
P62244	P62979	Human
P62244	P63220	Human
P62249	P62263	Human
P62249	P62266	Human
P62249	P62269	Human
P62249	P62273	Human
P62249	P62277	Human
P62249	P62280	Human
P62249	P62701	Human
P62249	P62753	Human
P62249	P62841	Human
P62249	P62847	Human
P62249	P62851	Human
P62249	P62854	Human
P62249	P62857	Human
P62249	P62861	Human
P62249	P62979	Human
P62249	P63220	Human
P62263	P62266	Human
P62263	P62269	Human
P62263	P62273	Human
P62263	P62277	Human
P62263	P62280	Human
P62263	P62701	Human
P62263	P62753	Human
P62263	P62841	Human
P62263	P62847	Human
P62263	P62851	Human
P62263	P62854	Human
P62263	P62857	Human
P62263	P62861	Human
P62263	P62979	Human
P62263	P63220	Human
P62266	P62269	Human
P62266	P62273	Human
P62266	P62277	Human
P62266	P62280	Human
P62266	P62701	Human
P62266	P62753	Human
P62266	P62841	Human
P62266	P62847	Human
P62266	P62851	Human
P62266	P62854	Human
P62266	P62857	Human
P62266	P62861	Human
P62266	P62979	Human
P62266	P63220	Human
P62269	P62273	Human
P62269	P62277	Human
P62269	P62280	Human
P62269	P62701	Human
P62269	P62753	Human
P62269	P62841	Human
P62269	P62847	Human
P62269	P62851	Human
P62269	P62854	Human
P62269	P62857	Human
P62269	P62861	Human
P62269	P62979	Human
P62269	P63220	Human
P62273	P62277	Human
P62273	P62280	Human
P62273	P62701	Human
P62273	P62753	Human
P62273	P62841	Human
P62273	P62847	Human
P62273	P62851	Human
P62273	P62854	Human
P62273	P62857	Human
P62273	P62861	Human
P62273	P62979	Human
P62273	P63220	Human
P62277	P62280	Human
P62277	P62701	Human
P62277	P62753	Human
P62277	P62841	Human
P62277	P62847	Human
P62277	P62851	Human
P62277	P62854	Human
P62277	P62857	Human
P62277	P62861	Human
P62277	P62979	Human
P62277	P63220	Human
P62280	P62701	Human
P62280	P62753	Human
P62280	P62841	Human
P62280	P62847	Human
P62280	P62851	Human
P62280	P62854	Human
P62280	P62857	Human
P62280	P62861	Human
P62280	P62979	Human
P62280	P63220	Human
P62701	P62753	Human
P62701	P62841	Human
P62701	P62847	Human
P62701	P62851	Human
P62701	P62854	Human
P62701	P62857	Human
P62701	P62861	Human
P62701	P62979	Human
P62701	P63220	Human
P62753	P62841	Human
P62753	P62847	Human
P62753	P62851	Human
P62753	P62854	Human
P62753	P62857	Human
P62753	P62861	Human
P62753	P62979	Human
P62753	P63220	Human
P62841	P62847	Human
P62841	P62851	Human
P62841	P62854	Human
P62841	P62857	Human
P62841	P62861	Human
P62841	P62979	Human
P62841	P63220	Human
P62847	P62851	Human
P62847	P62854	Human
P62847	P62857	Human
P62847	P62861	Human
P62847	P62979	Human
P62847	P63220	Human
P62851	P62854	Human
P62851	P62857	Human
P62851	P62861	Human
P62851	P62979	Human
P62851	P63220	Human
P62854	P62857	Human
P62854	P62861	Human
P62854	P62979	Human
P62854	P63220	Human
P62857	P62861	Human
P62857	P62979	Human
P62857	P63220	Human
P62861	P62979	Human
P62861	P63220	Human
P62979	P63220	Human
P05386	P05387	Human
P05386	P05388	Human
P05386	P08708	Human
P05386	P08865	Human
P05386	P15880	Human
P05386	P18077	Human
P05386	P18124	Human
P05386	P18621	Human
P05386	P22090	Human
P05386	P23396	Human
P05386	P25398	Human
P05386	P26373	Human
P05386	P27635	Human
P05386	P30050	Human
P05386	P32969	Human
P05386	P35268	Human
P05386	P36578	Human
P05386	P39019	Human
P05386	P39023	Human
P05386	P40429	Human
P05386	P42677	Human
P05386	P42766	Human
P05386	P46776	Human
P05386	P46777	Human
P05386	P46778	Human
P05386	P46779	Human
P05386	P46781	Human
P05386	P46782	Human
P05386	P46783	Human
P05386	P47914	Human
P05386	P49207	Human
P05386	P50914	Human
P05386	P60866	Human
P05386	P61247	Human
P05386	P61254	Human
P05386	P61313	Human
P05386	P61353	Human
P05386	P61513	Human
P05386	P61927	Human
P05386	P62081	Human
P05386	P62241	Human
P05386	P62244	Human
P05386	P62249	Human
P05386	P62263	Human
P05386	P62266	Human
P05386	P62269	Human
P05386	P62273	Human
P05386	P62277	Human
P05386	P62280	Human
P05386	P62424	Human
P05386	P62701	Human
P05386	P62750	Human
P05386	P62753	Human
P05386	P62829	Human
P05386	P62841	Human
P05386	P62847	Human
P05386	P62851	Human
P05386	P62854	Human
P05386	P62857	Human
P05386	P62861	Human
P05386	P62888	Human
P05386	P62891	Human
P05386	P62899	Human
P05386	P62906	Human
P05386	P62910	Human
P05386	P62913	Human
P05386	P62917	Human
P05386	P62945	Human
P05386	P62979	Human
P05386	P62987	Human
P05386	P63173	Human
P05386	P63220	Human
P05386	P83731	Human
P05386	P83881	Human
P05386	P84098	Human
P05386	Q02543	Human
P05386	Q02878	Human
P05386	Q07020	Human
P05386	Q9Y3U8	Human
P05387	P05388	Human
P05387	P08708	Human
P05387	P08865	Human
P05387	P15880	Human
P05387	P18077	Human
P05387	P18124	Human
P05387	P18621	Human
P05387	P22090	Human
P05387	P23396	Human
P05387	P25398	Human
P05387	P26373	Human
P05387	P27635	Human
P05387	P30050	Human
P05387	P32969	Human
P05387	P35268	Human
P05387	P36578	Human
P05387	P39019	Human
P05387	P39023	Human
P05387	P40429	Human
P05387	P42677	Human
P05387	P42766	Human
P05387	P46776	Human
P05387	P46777	Human
P05387	P46778	Human
P05387	P46779	Human
P05387	P46781	Human
P05387	P46782	Human
P05387	P46783	Human
P05387	P47914	Human
P05387	P49207	Human
P05387	P50914	Human
P05387	P60866	Human
P05387	P61247	Human
P05387	P61254	Human
P05387	P61313	Human
P05387	P61353	Human
P05387	P61513	Human
P05387	P61927	Human
P05387	P62081	Human
P05387	P62241	Human
P05387	P62244	Human
P05387	P62249	Human
P05387	P62263	Human
P05387	P62266	Human
P05387	P62269	Human
P05387	P62273	Human
P05387	P62277	Human
P05387	P62280	Human
P05387	P62424	Human
P05387	P62701	Human
P05387	P62750	Human
P05387	P62753	Human
P05387	P62829	Human
P05387	P62841	Human
P05387	P62847	Human
P05387	P62851	Human
P05387	P62854	Human
P05387	P62857	Human
P05387	P62861	Human
P05387	P62888	Human
P05387	P62891	Human
P05387	P62899	Human
P05387	P62906	Human
P05387	P62910	Human
P05387	P62913	Human
P05387	P62917	Human
P05387	P62945	Human
P05387	P62979	Human
P05387	P62987	Human
P05387	P63173	Human
P05387	P63220	Human
P05387	P83731	Human
P05387	P83881	Human
P05387	P84098	Human
P05387	Q02543	Human
P05387	Q02878	Human
P05387	Q07020	Human
P05387	Q9Y3U8	Human
P05388	P08708	Human
P05388	P08865	Human
P05388	P15880	Human
P05388	P18077	Human
P05388	P18124	Human
P05388	P18621	Human
P05388	P22090	Human
P05388	P23396	Human
P05388	P25398	Human
P05388	P26373	Human
P05388	P27635	Human
P05388	P30050	Human
P05388	P32969	Human
P05388	P35268	Human
P05388	P36578	Human
P05388	P39019	Human
P05388	P39023	Human
P05388	P40429	Human
P05388	P42677	Human
P05388	P42766	Human
P05388	P46776	Human
P05388	P46777	Human
P05388	P46778	Human
P05388	P46779	Human
P05388	P46781	Human
P05388	P46782	Human
P05388	P46783	Human
P05388	P47914	Human
P05388	P49207	Human
P05388	P50914	Human
P05388	P60866	Human
P05388	P61247	Human
P05388	P61254	Human
P05388	P61313	Human
P05388	P61353	Human
P05388	P61513	Human
P05388	P61927	Human
P05388	P62081	Human
P05388	P62241	Human
P05388	P62244	Human
P05388	P62249	Human
P05388	P62263	Human
P05388	P62266	Human
P05388	P62269	Human
P05388	P62273	Human
P05388	P62277	Human
P05388	P62280	Human
P05388	P62424	Human
P05388	P62701	Human
P05388	P62750	Human
P05388	P62753	Human
P05388	P62829	Human
P05388	P62841	Human
P05388	P62847	Human
P05388	P62851	Human
P05388	P62854	Human
P05388	P62857	Human
P05388	P62861	Human
P05388	P62888	Human
P05388	P62891	Human
P05388	P62899	Human
P05388	P62906	Human
P05388	P62910	Human
P05388	P62913	Human
P05388	P62917	Human
P05388	P62945	Human
P05388	P62979	Human
P05388	P62987	Human
P05388	P63173	Human
P05388	P63220	Human
P05388	P83731	Human
P05388	P83881	Human
P05388	P84098	Human
P05388	Q02543	Human
P05388	Q02878	Human
P05388	Q07020	Human
P05388	Q9Y3U8	Human
P08708	P08865	Human
P08708	P15880	Human
P08708	P18077	Human
P08708	P18124	Human
P08708	P18621	Human
P08708	P22090	Human
P08708	P23396	Human
P08708	P25398	Human
P08708	P26373	Human
P08708	P27635	Human
P08708	P30050	Human
P08708	P32969	Human
P08708	P35268	Human
P08708	P36578	Human
P08708	P39019	Human
P08708	P39023	Human
P08708	P40429	Human
P08708	P42677	Human
P08708	P42766	Human
P08708	P46776	Human
P08708	P46777	Human
P08708	P46778	Human
P08708	P46779	Human
P08708	P46781	Human
P08708	P46782	Human
P08708	P46783	Human
P08708	P47914	Human
P08708	P49207	Human
P08708	P50914	Human
P08708	P60866	Human
P08708	P61247	Human
P08708	P61254	Human
P08708	P61313	Human
P08708	P61353	Human
P08708	P61513	Human
P08708	P61927	Human
P08708	P62081	Human
P08708	P62241	Human
P08708	P62244	Human
P08708	P62249	Human
P08708	P62263	Human
P08708	P62266	Human
P08708	P62269	Human
P08708	P62273	Human
P08708	P62277	Human
P08708	P62280	Human
P08708	P62424	Human
P08708	P62701	Human
P08708	P62750	Human
P08708	P62753	Human
P08708	P62829	Human
P08708	P62841	Human
P08708	P62847	Human
P08708	P62851	Human
P08708	P62854	Human
P08708	P62857	Human
P08708	P62861	Human
P08708	P62888	Human
P08708	P62891	Human
P08708	P62899	Human
P08708	P62906	Human
P08708	P62910	Human
P08708	P62913	Human
P08708	P62917	Human
P08708	P62945	Human
P08708	P62979	Human
P08708	P62987	Human
P08708	P63173	Human
P08708	P63220	Human
P08708	P83731	Human
P08708	P83881	Human
P08708	P84098	Human
P08708	Q02543	Human
P08708	Q02878	Human
P08708	Q07020	Human
P08708	Q9Y3U8	Human
P08865	P15880	Human
P08865	P18077	Human
P08865	P18124	Human
P08865	P18621	Human
P08865	P22090	Human
P08865	P23396	Human
P08865	P25398	Human
P08865	P26373	Human
P08865	P27635	Human
P08865	P30050	Human
P08865	P32969	Human
P08865	P35268	Human
P08865	P36578	Human
P08865	P39019	Human
P08865	P39023	Human
P08865	P40429	Human
P08865	P42677	Human
P08865	P42766	Human
P08865	P46776	Human
P08865	P46777	Human
P08865	P46778	Human
P08865	P46779	Human
P08865	P46781	Human
P08865	P46782	Human
P08865	P46783	Human
P08865	P47914	Human
P08865	P49207	Human
P08865	P50914	Human
P08865	P60866	Human
P08865	P61247	Human
P08865	P61254	Human
P08865	P61313	Human
P08865	P61353	Human
P08865	P61513	Human
P08865	P61927	Human
P08865	P62081	Human
P08865	P62241	Human
P08865	P62244	Human
P08865	P62249	Human
P08865	P62263	Human
P08865	P62266	Human
P08865	P62269	Human
P08865	P62273	Human
P08865	P62277	Human
P08865	P62280	Human
P08865	P62424	Human
P08865	P62701	Human
P08865	P62750	Human
P08865	P62753	Human
P08865	P62829	Human
P08865	P62841	Human
P08865	P62847	Human
P08865	P62851	Human
P08865	P62854	Human
P08865	P62857	Human
P08865	P62861	Human
P08865	P62888	Human
P08865	P62891	Human
P08865	P62899	Human
P08865	P62906	Human
P08865	P62910	Human
P08865	P62913	Human
P08865	P62917	Human
P08865	P62945	Human
P08865	P62979	Human
P08865	P62987	Human
P08865	P63173	Human
P08865	P63220	Human
P08865	P83731	Human
P08865	P83881	Human
P08865	P84098	Human
P08865	Q02543	Human
P08865	Q02878	Human
P08865	Q07020	Human
P08865	Q9Y3U8	Human
P15880	P18077	Human
P15880	P18124	Human
P15880	P18621	Human
P15880	P22090	Human
P15880	P23396	Human
P15880	P25398	Human
P15880	P26373	Human
P15880	P27635	Human
P15880	P30050	Human
P15880	P32969	Human
P15880	P35268	Human
P15880	P36578	Human
P15880	P39019	Human
P15880	P39023	Human
P15880	P40429	Human
P15880	P42677	Human
P15880	P42766	Human
P15880	P46776	Human
P15880	P46777	Human
P15880	P46778	Human
P15880	P46779	Human
P15880	P46781	Human
P15880	P46782	Human
P15880	P46783	Human
P15880	P47914	Human
P15880	P49207	Human
P15880	P50914	Human
P15880	P60866	Human
P15880	P61247	Human
P15880	P61254	Human
P15880	P61313	Human
P15880	P61353	Human
P15880	P61513	Human
P15880	P61927	Human
P15880	P62081	Human
P15880	P62241	Human
P15880	P62244	Human
P15880	P62249	Human
P15880	P62263	Human
P15880	P62266	Human
P15880	P62269	Human
P15880	P62273	Human
P15880	P62277	Human
P15880	P62280	Human
P15880	P62424	Human
P15880	P62701	Human
P15880	P62750	Human
P15880	P62753	Human
P15880	P62829	Human
P15880	P62841	Human
P15880	P62847	Human
P15880	P62851	Human
P15880	P62854	Human
P15880	P62857	Human
P15880	P62861	Human
P15880	P62888	Human
P15880	P62891	Human
P15880	P62899	Human
P15880	P62906	Human
P15880	P62910	Human
P15880	P62913	Human
P15880	P62917	Human
P15880	P62945	Human
P15880	P62979	Human
P15880	P62987	Human
P15880	P63173	Human
P15880	P63220	Human
P15880	P83731	Human
P15880	P83881	Human
P15880	P84098	Human
P15880	Q02543	Human
P15880	Q02878	Human
P15880	Q07020	Human
P15880	Q9Y3U8	Human
P18077	P18124	Human
P18077	P18621	Human
P18077	P22090	Human
P18077	P23396	Human
P18077	P25398	Human
P18077	P26373	Human
P18077	P27635	Human
P18077	P30050	Human
P18077	P32969	Human
P18077	P35268	Human
P18077	P36578	Human
P18077	P39019	Human
P18077	P39023	Human
P18077	P40429	Human
P18077	P42677	Human
P18077	P42766	Human
P18077	P46776	Human
P18077	P46777	Human
P18077	P46778	Human
P18077	P46779	Human
P18077	P46781	Human
P18077	P46782	Human
P18077	P46783	Human
P18077	P47914	Human
P18077	P49207	Human
P18077	P50914	Human
P18077	P60866	Human
P18077	P61247	Human
P18077	P61254	Human
P18077	P61313	Human
P18077	P61353	Human
P18077	P61513	Human
P18077	P61927	Human
P18077	P62081	Human
P18077	P62241	Human
P18077	P62244	Human
P18077	P62249	Human
P18077	P62263	Human
P18077	P62266	Human
P18077	P62269	Human
P18077	P62273	Human
P18077	P62277	Human
P18077	P62280	Human
P18077	P62424	Human
P18077	P62701	Human
P18077	P62750	Human
P18077	P62753	Human
P18077	P62829	Human
